일시,구분,미세먼지(PM10),초미세먼지(PM25)
2021-05-31 23:00,평균,43,23
2021-05-31 23:00,강남구,42,24
2021-05-31 23:00,강동구,47,30
2021-05-31 23:00,강북구,48,27
2021-05-31 23:00,영등포구,39,24
2021-05-31 23:00,용산구,38,17
2021-05-31 23:00,은평구,43,27
2021-05-31 23:00,종로구,48,23
2021-05-31 10:00,광진구,32,14
2021-05-31 10:00,구로구,36,11
2021-05-31 10:00,금천구,27,14
2021-05-31 10:00,노원구,26,16
2021-05-31 10:00,도봉구,27,15
2021-05-31 10:00,동대문구,34,14
2021-05-31 10:00,동작구,34,14
2021-05-31 9:00,강북구,27,11
2021-05-31 9:00,강서구,33,16
2021-05-31 9:00,관악구,28,12
2021-05-30 16:00,평균,31,13
2021-05-30 16:00,강남구,37,19
2021-05-30 16:00,강동구,25,10
2021-05-30 16:00,강북구,30,13
2021-05-30 16:00,강서구,29,16
2021-05-30 16:00,관악구,31,12
2021-05-30 16:00,광진구,27,12
2021-05-30 16:00,구로구,34,13
2021-05-30 16:00,금천구,40,16
2021-05-30 16:00,노원구,25,11
2021-05-30 16:00,도봉구,27,8
2021-05-30 8:00,강동구,9,3
2021-05-30 8:00,강북구,7,4
2021-05-30 8:00,강서구,8,6
2021-05-30 8:00,관악구,10,3
2021-05-30 8:00,광진구,12,6
2021-05-30 8:00,구로구,19,7
2021-05-30 8:00,금천구,10,8
2021-05-30 8:00,노원구,6,3
2021-05-30 8:00,도봉구,18,14
2021-05-30 8:00,동대문구,10,4
2021-05-30 8:00,동작구,17,6
2021-05-30 8:00,마포구,11,6
2021-05-30 2:00,강남구,19,9
2021-05-30 2:00,강동구,15,10
2021-05-30 2:00,강북구,12,7
2021-05-30 2:00,강서구,19,12
2021-05-30 2:00,관악구,20,10
2021-05-30 2:00,광진구,16,10
2021-05-30 2:00,구로구,26,13
2021-05-30 2:00,금천구,18,11
2021-05-30 2:00,노원구,17,13
2021-05-30 2:00,도봉구,22,11
2021-05-30 2:00,동대문구,18,10
2021-05-30 2:00,동작구,24,13
2021-05-30 2:00,중구,19,11
2021-05-29 22:00,용산구,16,10
2021-05-29 22:00,은평구,8,5
2021-05-29 22:00,종로구,18,11
2021-05-26 10:00,강남구,38,12
2021-05-26 10:00,강동구,43,16
2021-05-26 10:00,강북구,51,16
2021-05-26 10:00,강서구,46,15
2021-05-26 10:00,관악구,37,12
2021-05-26 10:00,광진구,46,15
2021-05-26 10:00,구로구,58,17
2021-05-26 10:00,금천구,40,18
2021-05-26 10:00,노원구,41,17
2021-05-26 10:00,도봉구,49,18
2021-05-26 10:00,동대문구,46,16
2021-05-26 10:00,동작구,52,17
2021-05-26 10:00,마포구,39,12
2021-05-26 10:00,서대문구,42,19
2021-05-26 10:00,서초구,52,16
2021-05-26 10:00,성동구,40,16
2021-05-26 10:00,성북구,52,16
2021-05-26 10:00,송파구,43,20
2021-05-26 10:00,양천구,46,14
2021-05-24 0:00,강북구,23,15
2021-05-24 0:00,강서구,22,17
2021-05-24 0:00,관악구,24,15
2021-05-24 0:00,광진구,24,16
2021-05-23 0:00,관악구,30,18
2021-05-23 0:00,광진구,34,24
